index,n,x,tipo,data,dia,mes,ano,hora,y,z,vel1,vel2,k,s,cod,placa,r,t,y,u,i
52,927,2,2019-02-01 00:00:53,2019-02-01,01,02,2019,00:00:53,00,00,80.0,62.0,2,4.6,bdac48552,,0,0,NULL,NULL,NULL
53,511,2,2019-02-01 00:00:04,2019-02-01,01,02,2019,00:00:04,00,00,90.0,77.0,2,4.1,bdac466d2,,0,0,NULL,NULL,NULL
54,921,1,2019-02-01 00:00:08,2019-02-01,01,02,2019,00:00:08,00,00,90.0,0.0,1,1.8,bdac46961,QPD2989,0,0,NULL,NULL,NULL
55,511,2,2019-02-01 00:00:09,2019-02-01,01,02,2019,00:00:09,00,00,90.0,60.0,2,3.3,bdac469c2,KOW9576,0,0,NULL,NULL,NULL
56,511,2,2019-02-01 00:00:13,2019-02-01,01,02,2019,00:00:13,00,00,90.0,75.0,2,4.1,bdac46c32,,0,0,NULL,NULL,NULL
57,921,1,2019-02-01 00:00:21,2019-02-01,01,02,2019,00:00:21,00,00,90.0,81.0,2,3.4,bdac471a1,KXH4332,0,0,NULL,NULL,NULL
58,921,1,2019-02-01 00:00:25,2019-02-01,01,02,2019,00:00:25,00,00,90.0,83.0,2,2.7,bdac473d1,LMS3305,0,0,NULL,NULL,NULL
59,511,2,2019-02-01 00:00:30,2019-02-01,01,02,2019,00:00:30,00,00,90.0,72.0,2,4.1,bdac47702,,0,0,NULL,NULL,NULL
60,921,1,2019-02-01 00:00:32,2019-02-01,01,02,2019,00:00:32,00,00,90.0,78.0,2,3.4,bdac47821,LOI7402,0,0,NULL,NULL,NULL
61,921,1,2019-02-01 00:00:40,2019-02-01,01,02,2019,00:00:40,00,00,90.0,74.0,2,3.6,bdac47d01,DPJ7327,0,0,NULL,NULL,NULL
62,921,1,2019-02-01 00:00:41,2019-02-01,01,02,2019,00:00:41,00,00,90.0,0.0,1,1.2,bdac47e01,KWI1377,0,0,NULL,NULL,NULL
63,511,2,2019-02-01 00:00:42,2019-02-01,01,02,2019,00:00:42,00,00,90.0,80.0,1,1.4,bdac47e42,,0,0,NULL,NULL,NULL
64,921,1,2019-02-01 00:00:42,2019-02-01,01,02,2019,00:00:42,00,00,90.0,0.0,1,1.1,bdac47e91,LSW9012,0,0,NULL,NULL,NULL
65,511,2,2019-02-01 00:00:43,2019-02-01,01,02,2019,00:00:43,00,00,90.0,55.0,2,3.6,bdac47f02,IRM8257,0,0,NULL,NULL,NULL
66,921,1,2019-02-01 00:00:43,2019-02-01,01,02,2019,00:00:43,00,00,90.0,76.0,2,2.9,bdac47f61,KXY9644,0,0,NULL,NULL,NULL
67,511,2,2019-02-01 00:00:44,2019-02-01,01,02,2019,00:00:44,00,00,90.0,60.0,2,3.6,bdac48002,KYR6167,0,0,NULL,NULL,NULL
68,511,2,2019-02-01 00:00:45,2019-02-01,01,02,2019,00:00:45,00,00,90.0,0.0,2,4.0,bdac48072,,0,0,NULL,NULL,NULL
69,921,1,2019-02-01 00:00:53,2019-02-01,01,02,2019,00:00:53,00,00,90.0,79.0,2,3.7,bdac48571,LMI7915,0,0,NULL,NULL,NULL
70,921,1,2019-02-01 00:00:54,2019-02-01,01,02,2019,00:00:54,00,00,90.0,73.0,2,3.3,bdac48641,LUN5886,0,0,NULL,NULL,NULL
71,511,2,2019-02-01 00:00:57,2019-02-01,01,02,2019,00:00:57,00,00,90.0,76.0,2,3.1,bdac487e2,IHH3772,0,0,NULL,NULL,NULL
72,971,1,2019-02-01 00:00:05,2019-02-01,01,02,2019,00:00:05,00,00,50.0,35.0,2,3.9,bdac46741,,0,0,NULL,NULL,NULL
73,972,2,2019-02-01 00:00:13,2019-02-01,01,02,2019,00:00:13,00,00,50.0,39.0,1,1.1,bdac46ca2,,0,0,NULL,NULL,NULL
